fseq,degrade,t_det_ns,t_send_ns,peer,step
1,1,1790084393885709650,1790084393885761575,192.168.60.90:61531,687
2,0,1790084394085706596,1790084394085747984,192.168.60.90:61531,689
3,1,1790084395585624952,1790084395585667563,192.168.60.90:61531,704
4,0,1790084395785668694,1790084395785715601,192.168.60.90:61531,706
5,1,1790084399886160421,1790084399886199125,192.168.60.90:61531,747
6,0,1790084400085707482,1790084400085750333,192.168.60.90:61531,749
7,1,1790084400585829532,1790084400585870790,192.168.60.90:61531,754
