fseq,degrade,t_det_ns,t_send_ns,peer,step
1,1,1790085558822549174,1790085558822601414,192.168.60.90:61533,404
2,0,1790085559622625143,1790085559622667235,192.168.60.90:61533,412
3,1,1790085563722619262,1790085563722664762,192.168.60.90:61533,453
4,0,1790085563922671356,1790085563922714412,192.168.60.90:61533,455
5,1,1790085589723229616,1790085589723277967,192.168.60.90:61533,713
6,0,1790085590024672747,1790085590024715969,192.168.60.90:61533,716
