step,t_ns,elapsed_s,n_up,n_down,bytes_up,bytes_down,iat_med_up_ms,iat_p90_up_ms,iat_max_up_ms,iat_mad_up_ms,burst_up,iat_med_down_ms,iat_p90_down_ms,iat_max_down_ms,iat_mad_down_ms,burst_down,updown_ratio,pair_n,pair_med_ms,pair_min_ms,pair_max_ms,q_up_ms,q_down_ms,q_pair_ms,q_hat_ms,q_min_ms,baseline_done,degraded,t_det_meta_ns
1,1790085169467664128,0.1,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
2,1790085169567664128,0.2,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
3,1790085169667664128,0.3,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
4,1790085169767664128,0.4,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
5,1790085169867664128,0.5,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
6,1790085169967664128,0.6,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
7,1790085170067664128,0.7,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
8,1790085170167664128,0.8,2,0,224,0,753.408,753.408,753.408,0.0,1,,,,,0,,0,,,,,,,,,0,0,
9,1790085170267664128,0.9,2,0,224,0,753.408,753.408,753.408,0.0,1,,,,,0,,0,,,,,,,,,0,0,
10,1790085170367664128,1.0,2,0,224,0,753.408,753.408,753.408,0.0,1,,,,,0,,0,,,,,,,,,0,0,
11,1790085170467664128,1.1,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
12,1790085170567664128,1.2,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
13,1790085170667664128,1.3,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
14,1790085170767664128,1.4,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
15,1790085170867664128,1.5,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
16,1790085170967664128,1.6,2,0,224,0,752.137,752.137,752.137,0.0,1,,,,,0,,0,,,,,,,,,0,0,
17,1790085171067664128,1.7,2,0,224,0,752.137,752.137,752.137,0.0,1,,,,,0,,0,,,,,,,,,0,0,
18,1790085171167664128,1.8,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
19,1790085171267664128,1.9,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
20,1790085171367664128,2.0,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
21,1790085171467664128,2.1,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
22,1790085171567664128,2.2,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
23,1790085171667664128,2.3,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
24,1790085171767664128,2.4,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
25,1790085171867664128,2.5,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
26,1790085171967664128,2.6,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
27,1790085172067664128,2.7,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
28,1790085172167664128,2.8,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
29,1790085172267664128,2.9,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
30,1790085172367664128,3.0,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
31,1790085172467664128,3.1,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
32,1790085172567664128,3.2,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
33,1790085172667664128,3.3,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
34,1790085172767664128,3.4,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
35,1790085172867664128,3.5,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
36,1790085172967664128,3.6,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
37,1790085173067664128,3.7,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
38,1790085173167664128,3.8,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
39,1790085173267664128,3.9,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
40,1790085173367664128,4.0,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
41,1790085173467664128,4.1,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
42,1790085173567664128,4.2,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
43,1790085173667664128,4.3,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
44,1790085173767664128,4.4,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
45,1790085173867664128,4.5,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
46,1790085173967664128,4.6,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
47,1790085174067664128,4.7,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
48,1790085174167664128,4.8,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
49,1790085174267664128,4.9,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
50,1790085174367664128,5.0,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
51,1790085174467664128,5.1,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
52,1790085174567664128,5.2,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
53,1790085174667664128,5.3,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
54,1790085174767664128,5.4,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
55,1790085174867664128,5.5,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
56,1790085174967664128,5.6,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
57,1790085175067664128,5.7,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
58,1790085175167664128,5.8,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
59,1790085175267664128,5.9,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
60,1790085175367664128,6.0,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
61,1790085175467664128,6.1,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
62,1790085175567664128,6.2,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
63,1790085175667664128,6.3,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
64,1790085175767664128,6.4,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
65,1790085175867664128,6.5,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
66,1790085175967664128,6.6,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
67,1790085176067664128,6.7,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
68,1790085176167664128,6.8,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
69,1790085176267664128,6.9,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
70,1790085176367664128,7.0,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
71,1790085176467664128,7.1,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
72,1790085176567664128,7.2,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
73,1790085176667664128,7.3,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
74,1790085176767664128,7.4,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
75,1790085176867664128,7.5,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
76,1790085176967664128,7.6,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
77,1790085177067664128,7.7,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
78,1790085177167664128,7.8,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
